Internal Tracking Number,Synonym,Name Quality,Substance Name,Registry Name,CAS,TSN,EPA ID,Molecular Formula,Active Status
5306,Dichloromethane,Valid,"Methane, dichloro-",Methylene chloride,75-09-2,,,CH2Cl2,
5306,Methylene chloride,Valid,"Methane, dichloro-",Methylene chloride,75-09-2,,,CH2Cl2,
2071,Carbon tetrachloride,Valid,"Methane, tetrachloro-",Carbon tetrachloride,56-23-5,,,CCl4,
2683,Chlordane,Valid,"4,7-Methano-1H-indene, 1,2,4,5,6,7,8,8-octachloro-2,3,3a,4,7,7a-hexahydro-",Chlordane,57-74-9,,,C10H6Cl8,
6262,Heptachlor,Valid,"4,7-Methano-1H-indene, 1,4,5,6,7,8,8-heptachloro-3a,4,7,7a-tetrahydro-",Heptachlor,76-44-8,,,C10H5Cl7,
76661,Heptachlor epoxide,Valid,"2,5-Methano-2H-indeno[1,2-b]oxirene, 2,3,4,5,6,7,7-heptachloro-1a,1b,5,5a,6,6a-hexahydro-,(1aR,1bS,2R,5S,5aR,6S,6aR)-rel-",Heptachlor epoxide,1024-57-3,,,C10H5Cl7O,
197186,Nitrate,Valid,Nitrate,Nitrate,14797-55-8,,,NO3,
197194,Nitrite,Valid,Nitrite,Nitrite,14797-65-0,,,NO2,
39560,Endothall,Valid,"7-Oxabicyclo[2.2.1]heptane-2,3-dicarboxylic acid",Endothall,145-73-3,,,C8H10O5,
23945,Epichlorohydrin,Valid,"Oxirane, 2-(chloromethyl)-",Epichlorohydrin,106-89-8,,,C3H5ClO,
11437,Pentachlorophenol,Valid,"Phenol, 2,3,4,5,6-pentachloro-",Pentachlorophenol,87-86-5,,,C6HCl5O,
12047,Dinoseb,Valid,"Phenol, 2-(1-methylpropyl)-4,6-dinitro-",Dinoseb,88-85-7,,,C10H12N2O5,
16618,DBCP,Valid,"Propane, 1,2-dibromo-3-chloro-","1,2-Dibromo-3-chloropropane",96-12-8,,,C3H5Br2Cl,
16618,Dibromochloropropane,Ambiguous,"Propane, 1,2-dibromo-3-chloro-","1,2-Dibromo-3-chloropropane",96-12-8,,,C3H5Br2Cl,
16618,"1,2-Dibromo-3-chloropropane",Valid,"Propane, 1,2-dibromo-3-chloro-","1,2-Dibromo-3-chloropropane",96-12-8,,,C3H5Br2Cl,
7393,"1,2-Dichloropropane",Valid,"Propane, 1,2-dichloro-","1,2-Dichloropropane",78-87-5,,,C3H6Cl2,
6049,Dalapon,Valid,"Propanoic acid, 2,2-dichloro-",Dalapon,75-99-0,,,C3H4Cl2O2,
15057,Silvex,Valid,"Propanoic acid, 2-(2,4,5-trichlorophenoxy)-",Silvex,93-72-1,,,C9H7Cl3O3,
15057,"2,4,5-TP",Valid,"Propanoic acid, 2-(2,4,5-trichlorophenoxy)-",Silvex,93-72-1,,,C9H7Cl3O3,
7575,Acrylamide,Valid,2-Propenamide,Acrylamide,79-06-1,,,C3H5NO,
94227,Picloram,Valid,"2-Pyridinecarboxylic acid, 4-amino-3,5,6-trichloro-",Picloram,1918-02-1,,,C6H3Cl3N2O2,
701037,Radium-226 and Radium-228 combined,Unknown,"Radium, isotope of mass 226 and/or radium, isotope of mass 228",Radium-226 and/or radium-228,,,E701037,,
154310,Selenium,Valid,Selenium,Selenium,7782-49-2,,,Se,
149898,Thallium,Valid,Thallium,Thallium,7440-28-0,,,Tl,
761700,Total coliforms,Valid,Total coliforms,Total coliforms,,,E761700,,
156919,Toxaphene,Trade Name,Toxaphene,Toxaphene,8001-35-2,,,Unspecified,
32219,Simazine,Valid,"1,3,5-Triazine-2,4-diamine, 6-chloro-N2,N4-diethyl-",Simazine,122-34-9,,,C7H12ClN5,
94128,Atrazine,Valid,"1,3,5-Triazine-2,4-diamine, 6-chloro-N2-ethyl-N4-(1-methylethyl)-",Atrazine,1912-24-9,,,C8H14ClN5,
701045,Trihalomethanes (four),Unknown,"Trihalomethanes (four), total, from SDWA NPDWR",,,,E701045,,
701045,Total Trihalomethanes,Unknown,"Trihalomethanes (four), total, from SDWA NPDWR",,,,E701045,,
701045,THM4,Unknown,"Trihalomethanes (four), total, from SDWA NPDWR",,,,E701045,,
701045,TTHMs,Unknown,"Trihalomethanes (four), total, from SDWA NPDWR",,,,E701045,,
1640507,Turbidity,Valid,Turbidity,,,,E1640507,,
150185,Uranium,Ambiguous,Uranium,Uranium,7440-61-1,,,U,
761759,Viruses,Valid,Viruses (enteric),,,,E761759,,
701169,Beta particle and photon radioactivity from man-made radionuclides,Unknown,"Beta radioactivity emitters, man-made, and/or gamma radioactivity emitters, man-made","Beta radioactivity emitters, man-made, and/or gamma radioactivity emitters, man-made",,,E701169,,
